"","studyid","obsid","lnwtp","wlfresh","lnyear","lninc","sagulf","nema","nmw","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","canada","q01","q_percent","lnwtp2","q_change","us"
"1",101,1011,5.594513542,1,2.89,12.03153528,0,0,1,1,0,1,1,0,0,2.499,0,0,0,0,0,0,1.2495,100,4.67862289014718,2.499,1
"2",104,1041,0.958620416,1,0.693,11.19052484,0,0,1,0,0,1,1,0,3.468,3.968,1,0,0,0,1,0,3.718,0.144175317185698,1.65176759655995,0.5,1
"3",104,1042,2.276672333,1,0.693,11.19052484,0,0,1,0,0,1,1,1,69.58,70.08,1,0,0,0,1,0,69.83,0.00718597298074153,2.96981951355995,0.5,1
"4",104,1043,1.992232162,1,0.693,11.19052484,0,0,1,0,0,1,1,1,21.716,22.216,1,0,0,0,1,0,21.966,0.0230244980659422,2.68537934255995,0.5,1
"5",104,1044,3.227771208,1,0.693,11.19052484,0,0,1,0,0,1,1,1,0.908,1.408,1,0,0,0,1,0,1.158,0.550660792951542,3.92091838855995,0.5,1
"6",106,1061,5.020513441,1,1.792,11.34252743,0,0,1,1,1,1,1,0,10,13,0,1,0,1,1,0,11.5,0.3,3.92190115233189,3,1
"7",113,1131,4.483028996,1,1.792,11.56053052,0,0,1,0,0,1,0,1,219.89,220,0,1,0,1,0,0,219.945,0.000500250125062607,6.6903039091896,0.110000000000014,1
"8",114,1141,2.413885231,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5.838,5.867,0,1,1,0,0,0,5.8525,0.00496745460774228,5.95434467999567,0.0289999999999999,1
"9",114,1142,2.729420305,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5.822,5.867,0,1,1,0,0,0,5.8445,0.00772930264513905,5.83051309421182,0.0449999999999999,1
"10",114,1143,3.010084917,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5.807,5.867,0,1,1,0,0,0,5.837,0.0103323574995695,5.82349563376004,0.0599999999999996,1
"11",115,1151,5.884816889,1,0.693,11.56253055,0,0,0,0,0,0,1,0,27,85,0,0,0,0,0,0,56,2.14814814814815,1.82437387845358,58,1
"12",115,1152,6.387347484,1,0.693,11.56253055,0,0,0,0,0,0,1,0,85,125,0,0,0,0,0,0,105,0.470588235294118,2.69846802988606,40,1
"13",117,1171,4.166252056,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34,50,0,0,0,0,0,0,42,0.470588235294118,1.39366333376022,16,1
"14",117,1172,4.044509119,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34,75,0,0,0,0,0,0,54.5,1.20588235294118,0.330937052295692,41,1
"15",117,1173,4.170338582,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34,100,0,0,0,0,0,0,67,1.94117647058824,-0.0193161600264249,66,1
"16",119,1191,4.607854888,1,2.833,11.5355302,0,0,1,1,0,0,1,0,9,10.125,1,1,0,0,1,0,9.5625,0.125,4.49007185234362,1.125,1
"17",120,1201,3.211933509,1,0,11.48752956,0,0,1,0,1,1,1,1,36,41,1,0,0,0,1,0,38.5,0.138888888888889,1.6024955965659,5,1
"18",122,1221,5.010420722,1,1.609,11.61453119,1,0,0,1,0,0,0,0,212.378,212.708,0,0,0,0,0,0,212.543,0.00155383325956548,6.11908334652157,0.330000000000013,1
"19",125,1251,3.892596262,1,1.386,11.62153127,1,0,0,0,1,1,1,1,6,8.5,1,1,0,1,0,0,7.25,0.416666666666667,2.97630553012584,2.5,1
"20",125,1252,3.604382887,1,1.386,11.58953088,1,0,0,0,1,1,1,1,6,8.5,1,1,0,1,0,0,7.25,0.416666666666667,2.68809215512584,2.5,1
"21",125,1253,3.794752083,1,1.386,11.63553144,1,0,0,0,1,1,1,1,6,8.5,1,1,0,1,0,0,7.25,0.416666666666667,2.87846135112585,2.5,1
"22",126,1261,6.224336334,1,1.415,11.30958454,0,0,0,1,0,1,0,0,988.422,1976.843,0,0,1,1,0,1,1482.6325,0.99999898828638,-0.671772386347675,988.421,0
"23",126,1262,6.263901934,1,1.415,11.30958454,0,0,0,1,0,1,0,0,988.422,1976.843,0,0,0,1,0,1,1482.6325,0.99999898828638,-0.632206786347676,988.421,0
"24",127,1271,5.631679181,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11.997,14.52,0,0,0,1,0,1,13.2585,0.210302575643911,4.70623051134108,2.523,0
"25",128,1281,5.764055812,1,1.342,11.33738089,0,0,0,0,0,1,0,0,949.184,1044.102,0,0,0,1,0,1,996.643,0.0999995785853955,1.21104245102947,94.9180000000001,0
"26",128,1282,5.789734595,1,1.322,11.33738089,0,0,0,0,0,1,0,0,949.184,1084.782,0,0,0,1,0,1,1016.983,0.142857443867575,0.880039968865013,135.598,0
"27",128,1283,5.815704776,1,1.322,11.33738089,0,0,0,0,0,1,0,0,949.184,1125.461,0,0,0,1,0,1,1037.3225,0.185714255613243,0.643648154550878,176.277,0
"28",128,1284,5.865422667,1,1.322,11.33738089,0,0,0,0,0,1,0,0,949.184,1206.82,0,0,0,1,0,1,1078.002,0.27142893264109,0.313874930981345,257.636,0
"29",128,1285,5.956624176,1,1.322,11.33738089,0,0,0,0,0,1,0,0,949.184,1355.977,0,0,0,1,0,1,1152.5805,0.428571278066213,-0.0516802805533949,406.793,0
"30",129,1291,4.682086399,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4.2,8.4,1,1,0,0,0,1,6.3,1,3.24700187371068,4.2,0
"31",130,1301,3.637621922,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,5.884,0,0,0,1,1,1,2.942,100,1.86538511926081,5.884,0
